Route;Familie;Datei;Desktop gestaltet;Mobil gestaltet;Unterseiten und Overlays erfasst;Zustände gestaltet;Prototyp bedienbar;Bestehendes Produktverhalten;Neue Implementierung nötig;Anmerkung
/setup;Zugang;Einrichtung.dc.html;ja;ja;3 Schritte, Abschluss;Standard, Laden (Erstellen…);ja;bestehend;–;Instanz-Einstellungen im Setup laut setup.json
/login;Zugang;Anmelden.dc.html;ja;ja;2FA, Passkey, Passwort vergessen (SMTP/kein SMTP);Standard, Laden, Fehler (SMTP fehlt);ja;bestehend;–;
/register;Zugang;Registrieren.dc.html;ja;ja;Einladungscode, geschlossen;Standard, Fehler, Registrierung geschlossen;ja;bestehend;–;
/reset-password;Zugang;Passwort.dc.html;ja;ja;Link abgelaufen;Standard, Erfolg, Fehler;ja;bestehend;–;
/change-password;Zugang;Passwort.dc.html#erzwungen;ja;ja;erzwungener Wechsel;Standard, Stärkeanzeige, Fehler;ja;bestehend;–;
/2fa;Zugang;Anmelden.dc.html (Schritt 2);ja;ja;Wiederherstellungscode;Standard, Gerät merken;ja;bestehend;–;
/;Zugang;→ Dashboard.dc.html;–;–;Weiterleitung;–;ja;bestehend;–;Fallback auf Startseite laut Einstellung
/dashboard;Dashboard & Karten;Dashboard.dc.html;ja;ja;Panels (6, klappbar), Seitenleiste, Bottom-Sheet, Zeitachse;Standard, Bereich deaktiviert, Laden, Fehler;ja;teils;Sheet-Zustände, Modus pro Tab in URL;Globus-Spezifikation: Globus.dc.html
/dashboard/:tab;Dashboard & Karten;Dashboard.dc.html (Tabs);ja;ja;Modus pro Bereich, Sichtbarkeit, Legende;wie oben;ja;teils;Modus ↔ URL-Vertrag offen (§C); gestrichelte Bögen im Renderer;Kartenfarben Variante 2 = Standard (Owner 15.09.)
/flights;Logbuch;Logbuch Fluege.dc.html;ja;ja;Spalten, Dichte, Filter aktiv/×/Zurücksetzen, Suche;Standard, leer, keine Treffer, Laden, Fehler, Beta aus;ja;teils;Mehrfach-Filter im Backend (Query-Param), Flaggen-API;D-02 umgesetzt: ListRow < 640
/flights/:id;Eintragsdetails;Flug Detail.dc.html;ja;ja;Bearbeiten (Dialog), Duplizieren, Löschen, Belege, Tags, Mitreisende;Standard, Plan/Ist, Vorläufig;ja;teils;Tags/Mitreisende-Backend, Statistik-Vorschau-API;
/cruises;Logbuch;Logbuch Domaenen.dc.html#cruise;ja;ja;Tabelle ↔ Karten;Standard, leer;ja;bestehend;–;Gleiche Zeilenfamilie wie Flüge (Vergleich §1)
/cruises/:id;Eintragsdetails;Kreuzfahrt Detail.dc.html;ja;ja;Hafenfolge, Stops-Editor (Dialog), Flüge der Buchung;Standard, unaufgelöster Hafen;ja;teils;Hafen-Auflösung-Endpoint;
/lodging;Logbuch;Logbuch Domaenen.dc.html#hotel;ja;ja;Häuser ↔ Aufenthalte;Standard, leer;ja;bestehend;–;
/lodging/:id;Eintragsdetails;Unterkunft Detail.dc.html;ja;ja;Aufenthalte, Bewertungen, Ausgaben, Tags, Mitreisende;Standard;ja;teils;Tags/Companions-Backend;
/lodging/chains/:id;Eintragsdetails;Kette Detail.dc.html;ja;ja;Häuser der Kette;Standard;ja;bestehend;–;
/places;Logbuch;Logbuch Domaenen.dc.html#poi;ja;ja;Besucht/Merkliste;Standard, leer, Beta aus;ja;bestehend;–;Beta-Gate poiDomain
/places/:id;Eintragsdetails;Ort Detail.dc.html;ja;ja;Besuche, Listen, Tags, Mitreisende;Standard;ja;teils;Tags/Companions-Backend;
/places/lists;Sammlungen;Ortslisten.dc.html;ja;ja;Liste anlegen (10 Farben, Symbol);Standard, leer;ja;bestehend;–;
/places/lists/:id;Sammlungen;Liste Detail.dc.html;ja;ja;Ort hinzufügen, Reihenfolge, Löschen;Standard, leer, kein Treffer;ja;bestehend;–;
/places/checklists/:key;Sammlungen;Checkliste.dc.html;ja;ja;Abhaken, Folgen;Standard;ja;teils;Abhaken legt Ort an (Endpoint);
/trips;Reisen & Touren;Reisen.dc.html;ja;ja;Karten ↔ Tabelle, Gruppierungs-Vorschlag, Reise anlegen;Standard, leer;ja;teils;Gruppierungs-Vorschlag (Heuristik serverseitig);
