id,listKey,name,nameEn,blurb,blurbEn,lat,lon,country,isoCountryCode,sortIdx
world-wonders-new7:great-wall,world-wonders-new7,Chinesische Mauer,Great Wall of China,"Über zwei Jahrtausende gewachsener Grenzwall; der Abschnitt Badaling nordwestlich von Peking ist der meistbesuchte.","A frontier wall grown over more than two millennia; the Badaling section north-west of Beijing is the one most people see.",40.3587,116.0075,China,CN,10
world-wonders-new7:petra,world-wonders-new7,Petra,,"In roten Fels geschlagene Nabatäerstadt; das Schatzhaus al-Khazneh steht am Ausgang der Schlucht Sik.","A Nabataean city cut into red rock; the treasury al-Khazneh stands at the end of the Siq gorge.",30.3285,35.4444,Jordan,JO,20
world-wonders-new7:christ-redeemer,world-wonders-new7,Cristo Redentor,Christ the Redeemer,"38 Meter hoch auf dem Corcovado über Rio de Janeiro, eingeweiht 1931.","38 metres tall on the Corcovado above Rio de Janeiro, inaugurated in 1931.",-22.9519,-43.2105,Brazil,BR,30
world-wonders-new7:machu-picchu,world-wonders-new7,Machu Picchu,,"Inka-Stadt auf 2430 Metern über dem Urubamba-Tal, um 1450 erbaut und erst 1911 wieder bekannt geworden.","An Inca city at 2430 metres above the Urubamba valley, built around 1450 and made known again only in 1911.",-13.1631,-72.5450,Peru,PE,40
world-wonders-new7:chichen-itza,world-wonders-new7,Chichén Itzá,,"Maya-Stadt auf Yucatán; zu den Tagundnachtgleichen wirft die Kukulcán-Pyramide einen Schlangenschatten.","A Maya city on Yucatán; at the equinoxes the Kukulcán pyramid casts the shadow of a serpent.",20.6829,-88.5686,Mexico,MX,50
world-wonders-new7:colosseum,world-wonders-new7,Kolosseum,Colosseum,"Größtes Amphitheater der römischen Antike, 80 n. Chr. eröffnet, Platz für rund 50.000 Zuschauer.","The largest amphitheatre of Roman antiquity, opened in AD 80, seating some 50,000.",41.8902,12.4922,Italy,IT,60
world-wonders-new7:taj-mahal,world-wonders-new7,Taj Mahal,,"Grabmal aus weißem Marmor, das Shah Jahan ab 1632 für Mumtaz Mahal errichten ließ.","A white marble mausoleum Shah Jahan had built for Mumtaz Mahal from 1632 onwards.",27.1751,78.0421,India,IN,70
world-wonders-nature7:amazon,world-wonders-nature7,Amazonas-Regenwald,Amazon rainforest,"Der Wald hat keinen einzelnen Ort — die Koordinate zeigt auf das Encontro das Águas bei Manaus, wo der schwarze Rio Negro und der lehmige Solimões kilometerweit nebeneinander fließen, ohne sich zu mischen.","The forest has no single point — the coordinate marks the Encontro das Águas near Manaus, where the black Rio Negro and the muddy Solimões run side by side for kilometres without mixing.",-3.1367,-59.9047,Brazil,BR,10
world-wonders-nature7:ha-long-bay,world-wonders-nature7,Ha-Long-Bucht,Ha Long Bay,"Rund 1600 Kalksteininseln im Golf von Tonkin; fast alle sind unbewohnt, weil sie zu steil sind.","Some 1600 limestone islands in the Gulf of Tonkin; nearly all are uninhabited because they are too steep.",20.9084,107.0683,Vietnam,VN,20
world-wonders-nature7:iguazu-falls,world-wonders-nature7,Iguazú-Wasserfälle,Iguazú Falls,"Rund 2,7 Kilometer Abbruchkante an der Grenze zwischen Argentinien und Brasilien, in Dutzende Einzelfälle zerteilt; die Koordinate liegt an der Garganta del Diablo.","Some 2.7 kilometres of rim on the border between Argentina and Brazil, split into dozens of separate falls; the coordinate sits at the Garganta del Diablo.",-25.6953,-54.4367,Argentina,AR,30
world-wonders-nature7:jeju-island,world-wonders-nature7,Insel Jeju,Jeju Island,"Vulkaninsel vor der Südküste Koreas; die Koordinate markiert ihren Gipfel Hallasan, mit 1947 Metern der höchste Berg Südkoreas.","A volcanic island off the south coast of Korea; the coordinate marks its summit Hallasan, at 1947 metres the highest mountain in South Korea.",33.3617,126.5292,South Korea,KR,40
world-wonders-nature7:komodo,world-wonders-nature7,Insel Komodo,Komodo Island,"Heimat des Komodowarans, der nur hier und auf einer Handvoll Nachbarinseln vorkommt; angelandet wird an der Rangerstation Loh Liang.","Home of the Komodo dragon, which lives only here and on a handful of neighbouring islands; visitors land at the Loh Liang ranger station.",-8.5707,119.4997,Indonesia,ID,50
world-wonders-nature7:puerto-princesa-river,world-wonders-nature7,Puerto-Princesa-Untergrundfluss,Puerto Princesa Underground River,"Der Fluss ist 8,2 Kilometer lang und mündet unter einem Karstberg hindurch direkt ins Meer; Besucher fahren im Paddelboot in den Höhleneingang bei Sabang.","The river is 8.2 kilometres long and reaches the sea straight through a karst mountain; visitors enter the cave mouth near Sabang by paddle boat.",10.1989,118.9257,Philippines,PH,60
world-wonders-nature7:table-mountain,world-wonders-nature7,Tafelberg,Table Mountain,"Das flache Gipfelplateau über Kapstadt misst rund drei Kilometer von Kante zu Kante; die Wolke, die regelmäßig darüber liegt, heißt hier Tischtuch.","The flat summit plateau above Cape Town runs some three kilometres from edge to edge; the cloud that regularly spills over it is known as the tablecloth.",-33.9622,18.4135,South Africa,ZA,70
world-wonders-ancient:great-pyramid,world-wonders-ancient,Cheops-Pyramide,Great Pyramid of Giza,"Das einzige der sieben antiken Weltwunder, das noch steht — seit rund 4500 Jahren.","The only one of the seven ancient wonders still standing — for some 4500 years now.",29.9792,31.1342,Egypt,EG,10
world-wonders-ancient:hanging-gardens,world-wonders-ancient,Hängende Gärten von Babylon,Hanging Gardens of Babylon,"Archäologisch nie nachgewiesen; die Koordinate zeigt auf die Ruinen von Babylon südlich von Bagdad.","Never archaeologically confirmed; the coordinate points at the ruins of Babylon south of Baghdad.",32.5355,44.4275,Iraq,IQ,20
world-wonders-ancient:statue-of-zeus,world-wonders-ancient,Zeusstatue des Phidias,Statue of Zeus at Olympia,"Zwölf Meter Gold und Elfenbein im Zeustempel von Olympia; im 5. Jahrhundert verschollen.","Twelve metres of gold and ivory inside the temple of Zeus at Olympia; lost in the fifth century.",37.6380,21.6300,Greece,GR,30
